dist|perl-5.29.4.author|perl-5.29.4.distname|perl-5.29.4.distversion|perl-5.29.4.grade
CatalystX-SimpleLogin|ABRAXXA|CatalystX-SimpleLogin-0.20|0.20|PASS
Catmandu|NICS|Catmandu-1.10|1.10|PASS
Catmandu-Fix-Datahub|PIETERDP|Catmandu-Fix-Datahub-0.03|0.03|PASS
Catmandu-LIDO|NETSENSEI|Catmandu-LIDO-0.10|0.10|PASS
Catmandu-OAI|HOCHSTEN|Catmandu-OAI-0.18|0.18|PASS
Catmandu-Store-Datahub|NETSENSEI|Catmandu-Store-Datahub-0.08|0.08|PASS
Catmandu-XML|VOJ|Catmandu-XML-0.16|0.16|PASS
Chart-Gnuplot|KWMAK|Chart-Gnuplot-0.23|0.23|PASS
Check-ISA|MANWAR|Check-ISA-0.09|0.09|PASS
Check-UnitCheck|AJGOUGH|Check-UnitCheck-0.13|0.13|PASS
Chemistry-Bond-Find|ITUB|Chemistry-Bond-Find-0.23|0.23|PASS
Chemistry-Canonicalize|ITUB|Chemistry-Canonicalize-0.11|0.11|PASS
Chemistry-Pattern|ITUB|Chemistry-Pattern-0.27|0.27|PASS
Chemistry-Ring|ITUB|Chemistry-Ring-0.20|0.20|PASS
Child|EXODIST|Child-0.013|0.013|PASS
Class-Accessor|KASEI|Class-Accessor-0.51|0.51|PASS
Class-Accessor-Chained|RCLAMP|Class-Accessor-Chained-0.01|0.01|PASS
Class-Accessor-Children|KAWASAKI|Class-Accessor-Children-0.02|0.02|PASS
Class-Accessor-Class|RJBS|Class-Accessor-Class-0.503|0.503|PASS
Class-Accessor-Classy|EWILHELM|Class-Accessor-Classy-v0.9.1|v0.9.1|PASS
Class-Accessor-Complex|MARCEL|Class-Accessor-Complex-1.100880|1.100880|PASS
Class-Accessor-Constructor|MARCEL|Class-Accessor-Constructor-1.111590|1.111590|PASS
